,context,question,answer
109,"Điều 182: Thời hạn tố tụng Thời hạn tố tụng là một khoảng thời gian được xác định từ thời điểm này đến thời điểm khác để người tiến hành tố tụng, người tham gia tố tụng hoặc cơ quan, tổ chức, cá nhân có liên quan thực hiện hành vi tố tụng do Bộ luật này quy định: Thời hạn tố tụng có thể được xác định bằng giờ, ngày, tuần, tháng, năm hoặc bằng một sự kiện có thể sẽ xảy ra",Thời hạn tố tụng được xác định ra sao?,"Thời hạn tố tụng có thể được xác định bằng giờ, ngày, tuần, tháng, năm hoặc bằng một sự kiện có thể sẽ xảy ra."
168,"Điều 74: Kế thừa quyền, nghĩa vụ tố tụng Trường hợp đương sự là cá nhân đang tham gia tố tụng chết mà quyền, nghĩa vụ về tài sản của họ được thừa kế thì người thừa kế tham gia tố tụng: Trường hợp đương sự là cơ quan, tổ chức đang tham gia tố tụng phải chấm dứt hoạt động, bị giải thể, hợp nhất, sáp nhập, chia, tách, chuyển đổi hình thức tổ chức thì việc kế thừa quyền, nghĩa vụ tố tụng dân sự của cơ quan, tổ chức đó được xác định như sau Trường hợp tổ chức phải chấm dứt hoạt động, bị giải thể là công ty cổ phần, công ty trách nhiệm hữu hạn, công ty hợp danh thì cá nhân, tổ chức là thành viên của tổ chức đó hoặc đại diện của họ tham gia tố tụng Trường hợp cơ quan, tổ chức phải chấm dứt hoạt động, bị giải thể là cơ quan nhà nước, đơn vị vũ trang nhân dân, tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội, tổ chức xã hội - nghề nghiệp, doanh nghiệp nhà nước thì đại diện hợp pháp của cơ quan, tổ chức cấp trên trực tiếp của cơ quan, tổ chức đó hoặc đại diện hợp pháp của cơ quan, tổ chức tiếp nhận các quyền, nghĩa vụ của cơ quan, tổ chức đó tham gia tố tụng Trường hợp tổ chức hợp nhất, sáp nhập, chia, tách, chuyển đổi hình thức tổ chức thì cá nhân, tổ chức tiếp nhận quyền, nghĩa vụ của tổ chức đó tham gia tố tụng: Trường hợp thay đổi chủ sở hữu của tổ chức và có việc chuyển giao quyền, nghĩa vụ cho chủ sở hữu mới thì chủ sở hữu mới kế thừa quyền, nghĩa vụ tố tụng: Trường hợp tổ chức được chuyển giao quyền, nghĩa vụ theo quy định của pháp luật về dân sự thì tổ chức đó kế thừa quyền, nghĩa vụ tố tụng: Trường hợp tổ chức không có tư cách pháp nhân tham gia quan hệ dân sự mà người đại diện đang tham gia tố tụng chết thì tổ chức đó phải cử người khác làm đại diện để tham gia tố tụng nếu không cử được người đại diện hoặc tổ chức đó phải chấm dứt hoạt động, bị giải thể thì các cá nhân là thành viên của tổ chức đó tham gia tố tụng","Trường hợp đương sự là tổ chức và phải chấm dứt hoạt động, bị giải thể, hợp nhất, sáp nhập, chia, tách, chuyển đổi hình thức tổ chức, thì quyền, nghĩa vụ tố tụng của tổ chức đó được xác định như thế nào?","Quyền, nghĩa vụ tố tụng của tổ chức đó được xác định dựa trên nguyên tắc cá nhân, tổ chức là thành viên của tổ chức đó hoặc đại diện của họ tham gia tố tụng."
81,"Điều 25: Bảo đảm quyền khiếu nại, tố cáo trong tố tụng dân sự Cơ quan, tổ chức, cá nhân có quyền khiếu nại, cá nhân có quyền tố cáo những hành vi, quyết định trái pháp luật của cơ quan tiến hành tố tụng, người tiến hành tố tụng hoặc của bất cứ cơ quan, tổ chức, cá nhân nào trong hoạt động tố tụng dân sự: Cơ quan, tổ chức, cá nhân có thẩm quyền phải tiếp nhận, xem xét và giải quyết kịp thời, đúng pháp luật khiếu nại, tố cáo thông báo bằng văn bản về kết quả giải quyết cho người đã khiếu nại, tố cáo","Cơ quan, tổ chức, hoặc cá nhân có trách nhiệm khiếunại và tố cáo phải thực hiện những gì?","Cơ quan, tổ chức, hoặc cá nhân có trách nhiệm tiếp nhận, xem xét và giải quyết kịp thời, đúng theo quy định của pháp luật, các khiếu nại và tố cáo mà họ nhận được. Họ cũng phải thông báo bằng văn bản về kết quả giải quyết cho người đã khiếu nại hoặc tố cáo."
104,"Điều 205: Nguyên tắc tiến hành hòa giải Trong thời hạn chuẩn bị xét xử sơ thẩm vụ án, Tòa án tiến hành hòa giải để các đương sự thoả thuận với nhau về việc giải quyết vụ án, trừ những vụ án không được hòa giải hoặc không tiến hành hòa giải được quy định tại Điều 206 và Điều 207 của Bộ luật này hoặc vụ án được giải quyết theo thủ tục rút gọn: Việc hòa giải được tiến hành theo các nguyên tắc sau đây Tôn trọng sự tự nguyện thoả thuận của các đương sự, không được dùng vũ lực hoặc đe dọa dùng vũ lực, bắt buộc các đương sự phải thoả thuận không phù hợp với ý chí của mình Nội dung thoả thuận giữa các đương sự không vi phạm điều cấm của luật, không trái đạo đức xã hội",Làm thế nào để đảm bảo sự tự nguyện thoả thuận của các đương sự trong quá trình hòa giải?,"Để đảm bảo sự tự nguyện thoả thuận, quá trình hòa giải phải diễn ra trong môi trường thoải mái và không có sự áp lực từ bất kỳ bên nào, và không được sử dụng vũ lực hoặc đe dọa dùng vũ lực để buộc các đương sự phải thoả thuận."
128,"Điều 137: Thay đổi, áp dụng bổ sung biện pháp khẩn cấp tạm thời Khi xét thấy biện pháp khẩn cấp tạm thời đang được áp dụng không còn phù hợp mà cần thiết phải thay đổi hoặc áp dụng bổ sung biện pháp khẩn cấp tạm thời khác thì thủ tục thay đổi, áp dụng bổ sung biện pháp khẩn cấp tạm thời khác được thực hiện theo quy định tại Điều 133 của Bộ luật này",Khi nào có thể thay đổi hoặc áp dụng bổ sung biện pháp khẩn cấp tạm thời?,Biện pháp khẩn cấp tạm thời có thể được thay đổi hoặc áp dụng bổ sung khi xét thấy rằng biện pháp đang áp dụng không còn phù hợp hoặc cần thiết.
123,"Điều 428: Gửi quyết định của Tòa án về công nhận và cho thi hành hoặc không công nhận bản án, quyết định dân sự của Tòa án nước ngoài công nhận và cho thi hành phán quyết của Trọng tài nước ngoài Tòa án có trách nhiệm chuyển giao trực tiếp hoặc qua dịch vụ bưu chính hoặc thông qua Bộ Tư pháp quyết định của Tòa án cho người được thi hành, người phải thi hành bản án, quyết định dân sự của Tòa án nước ngoài, phán quyết của Trọng tài nước ngoài hoặc người đại diện hợp pháp của họ, Viện kiểm sát cùng cấp và cơ quan thi hành án dân sự theo quy định của Bộ luật này","Ai là người được thi hành quyết định của Tòa án về công nhận và cho thi hành bản án, quyết định dân sự của Tòa án nước ngoài?","Người được thi hành quyết định của Tòa án về công nhận và cho thi hành bản án, quyết định dân sự của Tòa án nước ngoài có thể là người phải thi hành bản án hoặc quyết định đó, hoặc người đại diện hợp pháp của họ."
160,"Điều 486: Giải thích, sửa chữa bản án, quyết định của Tòa án Người được thi hành án, người phải thi hành án, người có quyền lợi, nghĩa vụ liên quan đến việc thi hành bản án, quyết định của Tòa án và cơ quan thi hành án có quyền yêu cầu bằng văn bản Tòa án đã ra bản án, quyết định, giải thích, sửa chữa những điểm chưa rõ trong bản án, quyết định để thi hành: Thẩm phán đã ra quyết định hoặc Thẩm phán là chủ tọa phiên tòa có trách nhiệm giải thích, sửa chữa những điểm chưa rõ trong bản án, quyết định của Tòa án: Trường hợp họ không còn là Thẩm phán của Tòa án thì Chánh án Tòa án đó có trách nhiệm giải thích, sửa chữa bản án, quyết định của Tòa án: Việc giải thích bản án, quyết định của Tòa án phải căn cứ vào biên bản phiên tòa, biên bản phiên họp, biên bản nghị án: Việc sửa chữa bản án, quyết định được thực hiện theo quy định tại Điều 268 của Bộ luật này","Trường hợp Thẩm phán không còn là Thẩm phán của Tòa án thì ai có trách nhiệm giải thích, sửa chữa bản án, quyết định của Tòa án?","Trường hợp Thẩm phán không còn là Thẩm phán của Tòa án thì Chánh án Tòa án đó có trách nhiệm giải thích, sửa chữa bản án, quyết định của Tòa án."
69,Điều 126: Phong tỏa tài sản của người có nghĩa vụ Phong tỏa tài sản của người có nghĩa vụ được áp dụng nếu trong quá trình giải quyết vụ án có căn cứ cho thấy người có nghĩa vụ có tài sản và việc áp dụng biện pháp này là cần thiết để bảo đảm cho việc giải quyết vụ án hoặc việc thi hành án,Khi nào áp dụng biện pháp phong tỏa tài sản của người có nghĩa vụ trong việc giải quyết vụ án?,Biện pháp phong tỏa tài sản của người có nghĩa vụ được áp dụng khi trong quá trình giải quyết vụ án có căn cứ cho thấy người có nghĩa vụ có tài sản và việc áp dụng biện pháp này là cần thiết để bảo đảm cho việc giải quyết vụ án hoặc việc thi hành án.
152,"Điều 358: Yêu cầu, kiến nghị, đề nghị xem xét lại quyết định của Hội đồng Thẩm phán Tòa án nhân dân tối cao Khi có căn cứ xác định quyết định của Hội đồng Thẩm phán Tòa án nhân dân tối cao có vi phạm pháp luật nghiêm trọng hoặc phát hiện tình tiết quan trọng mới có thể làm thay đổi cơ bản nội dung quyết định mà Hội đồng Thẩm phán Tòa án nhân dân tối cao, đương sự đã không thể biết được khi ra quyết định đó, nếu có yêu cầu của Ủy ban thường vụ Quốc hội, kiến nghị của Ủy ban tư pháp của Quốc hội, kiến nghị của Viện trưởng Viện kiểm sát nhân dân tối cao hoặc đề nghị của Chánh án Tòa án nhân dân tối cao thì Hội đồng Thẩm phán Tòa án nhân dân tối cao xem xét lại quyết định đó: Trường hợp có yêu cầu của Ủy ban thường vụ Quốc hội thì Chánh án Tòa án nhân dân tối cao có trách nhiệm báo cáo Hội đồng Thẩm phán Tòa án nhân dân tối cao để xem xét lại quyết định của Hội đồng Thẩm phán Tòa án nhân dân tối cao: Trường hợp có kiến nghị của Ủy ban tư pháp của Quốc hội, kiến nghị của Viện trưởng Viện kiểm sát nhân dân tối cao hoặc Chánh án Tòa án nhân dân tối cao phát hiện vi phạm, tình tiết mới thì Chánh án Tòa án nhân dân tối cao có trách nhiệm báo cáo Hội đồng Thẩm phán Tòa án nhân dân tối cao xem xét kiến nghị, đề nghị đó: Phiên họp của Hội đồng Thẩm phán Tòa án nhân dân tối cao xem xét kiến nghị, đề nghị quy định tại khoản 3 Điều này phải có sự tham dự của Viện trưởng Viện kiểm sát nhân dân tối cao",Làm thế nào để yêu cầu xem xét lại quyết định của Hội đồng Thẩm phán Tòa án nhân dân tối cao?,"Để yêu cầu xem xét lại quyết định của Hội đồng Thẩm phán Tòa án nhân dân tối cao, cần có yêu cầu của Ủy ban thường vụ Quốc hội, kiến nghị của Ủy ban tư pháp của Quốc hội, kiến nghị của Viện trưởng Viện kiểm sát nhân dân tối cao hoặc đề nghị của Chánh án Tòa án nhân dân tối cao."
59,"Điều 335: Thay đổi, bổ sung, rút kháng nghị giám đốc thẩm Người đã kháng nghị giám đốc thẩm có quyền thay đổi, bổ sung kháng nghị nếu chưa hết thời hạn kháng nghị quy định tại Điều 334 của Bộ luật này: Việc thay đổi, bổ sung phải được thực hiện bằng quyết định: Quyết định thay đổi, bổ sung kháng nghị phải được gửi theo quy định tại Điều 336 của Bộ luật này: Người đã kháng nghị có quyền rút một phần hoặc toàn bộ kháng nghị trước khi mở phiên tòa hoặc tại phiên tòa giám đốc thẩm: Việc rút kháng nghị phải được thực hiện bằng quyết định: Khi nhận được quyết định rút toàn bộ kháng nghị, Tòa án giám đốc thẩm ra quyết định đình chỉ việc xét xử giám đốc thẩm",Khi nào người đã kháng nghị giám đốc thẩm có quyền thay đổi hoặc bổ sung kháng nghị?,Người đã kháng nghị giám đốc thẩm có quyền thay đổi hoặc bổ sung kháng nghị nếu chưa hết thời hạn kháng nghị quy định tại Điều 334 của Bộ luật này.
