,title,query
176,"Điều 429: Bảo đảm quyền chuyển tiền, tài sản thi hành bản án, quyết định dân sự của Tòa án nước ngoài, phán quyết của Trọng tài nước ngoài Nhà nước Việt Nam bảo đảm việc chuyển tiền, tài sản thi hành bản án, quyết định dân sự của Tòa án nước ngoài, phán quyết của Trọng tài nước ngoài đã được Tòa án Việt Nam công nhận và cho thi hành từ Việt Nam ra nước ngoài: Việc chuyển tiền, tài sản này được thực hiện theo quy định của pháp luật Việt Nam","Nếu bên ngoại yêu cầu thêm thông tin hay chứng cứ liên quan đến quyết định, liệu có quy định cụ thể về việc này không?"
36,"Điều 411: Trình tự phiên họp xét tính hợp pháp của cuộc đình công Thẩm phán chủ trì phiên họp xét tính hợp pháp của cuộc đình công công bố quyết định mở phiên họp xét tính hợp pháp của cuộc đình công và tóm tắt nội dung đơn yêu cầu: Đại diện tổ chức đại diện tập thể lao động và đại diện của người sử dụng lao động trình bày ý kiến của mình: Thẩm phán chủ trì phiên họp xét tính hợp pháp của cuộc đình công có thể yêu cầu đại diện cơ quan, tổ chức tham gia phiên họp trình bày ý kiến: Kiểm sát viên phát biểu ý kiến của Viện kiểm sát về việc xét tính hợp pháp của cuộc đình công: Ngay sau khi kết thúc phiên họp, Kiểm sát viên phải gửi văn bản phát biểu ý kiến cho Tòa án để lưu vào hồ sơ việc dân sự: Hội đồng xét tính hợp pháp của cuộc đình công thảo luận và quyết định theo đa số",Thẩm phán chủ trì phiên họp xét tính hợp pháp của cuộc đình công có quyền yêu cầu tham gia của các bên liên quan ngoài đại diện tổ chức và người sử dụng lao động không?
237,"Điều 476: Thông báo về việc thụ lý, ngày mở phiên họp, phiên tòa Tòa án phải gửi thông báo thụ lý vụ án, trong đó nêu rõ thời gian, địa điểm mở phiên họp kiểm tra việc giao nộp, tiếp cận, công khai chứng cứ và hòa giải (sau đây gọi chung là phiên họp hòa giải), mở lại phiên họp hòa giải, mở phiên tòa và mở lại phiên tòa trong văn bản thông báo thụ lý vụ án cho đương sự ở nước ngoài: Thời hạn mở phiên tòa, phiên họp hòa giải được xác định như sau Phiên họp hòa giải phải được mở sớm nhất là 06 tháng và chậm nhất là 08 tháng, kể từ ngày ra văn bản thông báo thụ lý vụ án: Ngày mở lại phiên họp hòa giải (nếu có) được ấn định cách ngày mở phiên họp hòa giải chậm nhất là 01 tháng Phiên tòa phải được mở sớm nhất là 09 tháng và chậm nhất là 12 tháng, kể từ ngày ra văn bản thông báo thụ lý vụ án: Ngày mở lại phiên tòa (nếu có) được ấn định cách ngày mở phiên tòa chậm nhất là 01 tháng, trừ trường hợp quy định tại khoản 4 Điều 477 của Bộ luật này: Tòa án phải gửi thông báo thụ lý việc dân sự, trong đó nêu rõ thời gian, địa điểm mở phiên họp, mở lại phiên họp giải quyết việc dân sự trong văn bản thông báo thụ lý việc dân sự cho đương sự ở nước ngoài: Phiên họp phải được mở sớm nhất là 06 tháng và chậm nhất là 08 tháng, kể từ ngày ra văn bản thông báo thụ lý việc dân sự: Ngày mở lại phiên họp giải quyết việc dân sự (nếu có) được ấn định cách ngày mở phiên họp lần đầu chậm nhất là 01 tháng",Có quy định gì về thời gian mở lại phiên họp giải quyết việc dân sự theo Điều 476?
393,"Điều 354: Người có thẩm quyền kháng nghị theo thủ tục tái thẩm Chánh án Tòa án nhân dân tối cao, Viện trưởng Viện kiểm sát nhân dân tối cao có thẩm quyền kháng nghị theo thủ tục tái thẩm bản án, quyết định đã có hiệu lực pháp luật của Tòa án nhân dân cấp cao bản án, quyết định có hiệu lực pháp luật của Tòa án khác khi xét thấy cần thiết, trừ quyết định giám đốc thẩm của Hội đồng thẩm phán Tòa án nhân dân tối cao: Chánh án Tòa án nhân dân cấp cao, Viện trưởng Viện kiểm sát nhân dân cấp cao có thẩm quyền kháng nghị theo thủ tục tái thẩm bản án, quyết định đã có hiệu lực pháp luật của Tòa án nhân dân cấp tỉnh, Tòa án nhân dân cấp huyện trong phạm vi thẩm quyền theo lãnh thổ: Người đã kháng nghị bản án, quyết định đã có hiệu lực pháp luật có quyền quyết định tạm đình chỉ thi hành bản án, quyết định đó cho đến khi có quyết định tái thẩm","Khi bản án, quyết định đã có hiệu lực pháp luật của Tòa án nhân dân cấp tỉnh, Tòa án nhân dân cấp huyện trong phạm vi thẩm quyền theo lãnh thổ bị kháng nghị, ai có quyền quyết định tạm đình chỉ thi hành bản án, quyết định đó?"
330,"Điều 368: Quyết định việc thay đổi người tiến hành tố tụng khi giải quyết việc dân sự Trước khi mở phiên họp, việc thay đổi Thẩm phán, Thư ký phiên họp do Chánh án của Tòa án đang giải quyết việc dân sự đó quyết định nếu Thẩm phán bị thay đổi là Chánh án của Tòa án đang giải quyết việc dân sự đó thì việc thay đổi do Chánh án Tòa án trên một cấp trực tiếp quyết định: Tại phiên họp giải quyết việc dân sự, việc thay đổi Thẩm phán, Thư ký phiên họp được thực hiện như sau Trường hợp việc dân sự do một Thẩm phán giải quyết thì việc thay đổi Thẩm phán, Thư ký phiên họp do Chánh án của Tòa án đang giải quyết việc dân sự đó quyết định nếu Thẩm phán bị thay đổi là Chánh án của Tòa án đang giải quyết việc dân sự đó thì việc thay đổi do Chánh án Tòa án trên một cấp trực tiếp quyết định Trường hợp việc dân sự do Hội đồng giải quyết việc dân sự gồm ba Thẩm phán giải quyết thì việc thay đổi thành viên Hội đồng, Thư ký phiên họp do Hội đồng giải quyết việc dân sự quyết định: Trước khi mở phiên họp, việc thay đổi Kiểm sát viên do Viện trưởng Viện kiểm sát cùng cấp quyết định: Tại phiên họp, việc thay đổi Kiểm sát viên do Thẩm phán, Hội đồng giải quyết việc dân sự quyết định: Trường hợp phải thay đổi Kiểm sát viên thì Thẩm phán, Hội đồng giải quyết việc dân sự ra quyết định hoãn phiên họp và thông báo cho Viện kiểm sát: Việc cử Kiểm sát viên thay thế Kiểm sát viên bị thay đổi do Viện trưởng Viện kiểm sát cùng cấp quyết định: Nếu Kiểm sát viên bị thay đổi là Viện trưởng Viện kiểm sát thì do Viện trưởng Viện kiểm sát cấp trên trực tiếp quyết định",Trong tình huống nào Chánh án của Tòa án quyết định thay đổi Thẩm phán hoặc Thư ký phiên họp khi giải quyết việc dân sự?
416,Điều 126: Phong tỏa tài sản của người có nghĩa vụ Phong tỏa tài sản của người có nghĩa vụ được áp dụng nếu trong quá trình giải quyết vụ án có căn cứ cho thấy người có nghĩa vụ có tài sản và việc áp dụng biện pháp này là cần thiết để bảo đảm cho việc giải quyết vụ án hoặc việc thi hành án,Có những trường hợp nào mà việc phong tỏa tài sản là không cần thiết?
264,Điều 281: Thông báo về việc kháng nghị Viện kiểm sát ra quyết định kháng nghị phải gửi ngay quyết định kháng nghị cho đương sự có liên quan đến kháng nghị: Người được thông báo về việc kháng nghị có quyền gửi văn bản nêu ý kiến của mình về nội dung kháng nghị cho Tòa án cấp phúc thẩm: Văn bản nêu ý kiến của họ được đưa vào hồ sơ vụ án,"Theo Điều 281, Viện kiểm sát cần thực hiện việc gửi quyết định kháng nghị ngay sau khi quyết định này được đưa ra. Tại sao điều này quan trọng trong quy trình pháp luật?"
300,Điều 185: Áp dụng quy định của Bộ luật dân sự về thời hiệu Các quy định của Bộ luật dân sự về thời hiệu được áp dụng trong tố tụng dân sự,Điều 185 nêu rõ về việc áp dụng quy định của Bộ luật dân sự về thời hiệu trong tố tụng dân sự. Quy định này có tác động đến quá trình tố tụng như thế nào?
271,"Điều 197: Phân công Thẩm phán giải quyết vụ án Trên cơ sở báo cáo thụ lý vụ án của Thẩm phán được phân công thụ lý vụ án, Chánh án Tòa án quyết định phân công Thẩm phán giải quyết vụ án bảo đảm nguyên tắc vô tư, khách quan, ngẫu nhiên: Trong thời hạn 03 ngày làm việc, kể từ ngày thụ lý vụ án, Chánh án Tòa án quyết định phân công Thẩm phán giải quyết vụ án: Đối với vụ án phức tạp, việc giải quyết có thể phải kéo dài thì Chánh án Tòa án phân công Thẩm phán dự khuyết để bảo đảm xét xử đúng thời hạn theo quy định của Bộ luật này: Trong quá trình giải quyết vụ án, nếu Thẩm phán được phân công không thể tiếp tục tiến hành được nhiệm vụ thì Chánh án Tòa án phân công Thẩm phán khác tiếp tục nhiệm vụ trường hợp đang xét xử mà không có Thẩm phán dự khuyết thì vụ án phải được xét xử lại từ đầu và Tòa án phải thông báo cho đương sự, Viện kiểm sát cùng cấp",Điều 197 quy định về việc giải quyết vụ án bảo đảm nguyên tắc gì?
183,"Điều 110: Bảo vệ chứng cứ Trường hợp chứng cứ đang bị tiêu huỷ, có nguy cơ bị tiêu hủy hoặc sau này khó có thể thu thập được thì đương sự có quyền đề nghị Tòa án quyết định áp dụng biện pháp cần thiết để bảo toàn chứng cứ: Đề nghị của đương sự phải thể hiện bằng văn bản: Tòa án có thể quyết định áp dụng một hoặc một số trong các biện pháp niêm phong, thu giữ, chụp ảnh, ghi âm, ghi hình, phục chế, khám nghiệm, lập biên bản và các biện pháp khác: Trường hợp người làm chứng bị lừa dối, đe dọa, cưỡng ép hoặc mua chuộc để không cung cấp chứng cứ hoặc cung cấp chứng cứ sai sự thật thì Tòa án có quyền quyết định buộc người có hành vi lừa dối, đe dọa, cưỡng ép hoặc mua chuộc phải chấm dứt hành vi đó: Trường hợp hành vi đó có dấu hiệu tội phạm thì Tòa án yêu cầu Viện kiểm sát xem xét về trách nhiệm hình sự","Tòa án có thẩm quyền buộc người làm chứng chấm dứt hành vi lừa dối, đe dọa, cưỡng ép hoặc mua chuộc không?"
